AÑO
6.502484033
3.762467686
8.228807312
7.861119861
5.77682723
5.74448505
4.417444135
3.390639707
8.956942328
9.698170138
9.233251984
8.772600561
-0.62790261
-4.196296574
3.610180912
2.59338414
-3.753919881
1.855746992
1.245438058
4.198293258
